N,Avg_Q1,Avg_Q2
2,0.8938782936692936,0.9531084094834599
5,0.9002156435160906,0.9534189403157396
10,0.9147209954278288,0.959803520620891
15,0.920074372564271,0.9622652122128866
20,0.9232945005408932,0.9636406324666684
30,0.9262188211039708,0.9640051969346098
50,0.937091354082308,0.9694687963656761
