alpha,Avg_Q1,Avg_Q2
0.0001,0.9182749120495031,0.9589889533568394
0.0003,0.9310994039574852,0.9650556898204949
0.001,0.9254242291297334,0.9623955670476712
0.003,0.8440875487579151,0.9187285661102009
0.01,0.40093591555854746,0.66136136789307
